ReferenceRef,RefSystemID,ReferenceID,CaseRef,SourceRef,Reference,KirkSession,Presbytery,BurghCourt,Confession,DraftDittay,Comm_CourtMin,Just_CourtMin,Circuit_CourtMin,Dittay,Pleadings,WitDep,WitStatement,CommJust,PrivyCouncil,Parliament,Estates,Royal,CommText,Verdict,Sentence,Chronicle,Financial,Other,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"R/EGD/1024","EGD",1024,"C/EGD/1024",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"R.P.C. 2ND S. V2 pp. 410, 442, 468-9, 624","SMD","05/15/01 17:33:52","SMD","05/15/01 17:33:52"
"R/EGD/1025","EGD",1025,"C/EGD/1025","RPC","2nd S, v2 p. 623-4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","07/19/01 10:33:10"
"R/EGD/1026","EGD",1026,"C/EGD/1026","RPC","2nd S, v2 p. 439",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","07/19/01 11:01:57"
"R/EGD/1027","EGD",1027,"C/EGD/1027","RPC","2nd S, v2 p. 517",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/14/01 12:09:52"
"R/EGD/1028","EGD",1028,"C/EGD/1028","RPC","2nd S, v2 p. 439",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","07/19/01 11:07:35"
"R/EGD/1029","EGD",1029,"C/EGD/1029","RPC","2nd S, v2 p. 444",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","07/19/01 10:33:46"
"R/EGD/103","EGD",103,"C/EGD/103","High Court Minute Books","JC6/3 May 1591",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,"This is pleadings where Napier is trying to get certain people off of her assize.","SMD","05/15/01 17:33:52","jhm","10/01/02 11:35:46"
"R/EGD/1030","EGD",1030,"C/EGD/1030","RPC","2nd series, vol 2, p 471, 482.",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","jhm","07/02/01 15:52:53"
"R/EGD/1031","EGD",1031,"C/EGD/1031","RPC","2nd series, vol 2, p 471, 482.",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,"Commissions for trial noted.","SMD","05/15/01 17:33:52","jhm","07/02/01 16:19:24"
"R/EGD/1032","EGD",1032,"C/EGD/1032","RPC","2nd series, vol 2, p 471, 482.",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,"Commissions for trial noted.","SMD","05/15/01 17:33:52","jhm","07/02/01 16:25:27"
"R/EGD/1033","EGD",1033,"C/EGD/1033","RPC","2nd series, vol 2, p 471, 482.",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","jhm","07/03/01 09:28:06"
"R/EGD/1034","EGD",1034,"C/EGD/1034","RPC","2nd series, vol 2, p 471, 482.",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","jhm","07/03/01 09:40:35"
"R/EGD/1035","EGD",1035,"C/EGD/1035","RPC","2nd series, vol 2, p 444.",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","jhm","07/02/01 13:01:21"
"R/EGD/1036","EGD",1036,"C/EGD/1036","RPC","2nd series, vol 2, p 444.",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","jhm","07/02/01 12:36:18"
"R/EGD/1037","EGD",1037,"C/EGD/1037","RPC","2nd series, vol 2, p 444.",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","jhm","07/02/01 13:16:18"
"R/EGD/1038","EGD",1038,"C/EGD/1038","RPC","2nd S, v2 p. 471",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","07/19/01 12:20:16"
"R/EGD/1039","EGD",1039,"C/EGD/1039","RPC","2nd S, v2 p. 439",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","07/19/01 11:12:33"
"R/EGD/104","EGD",104,"C/EGD/104","Pitcairn","v I, part II, page 237",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"same text as JC2/2, Also listed in the High Court Record Index, no. 1 for 7/6/1591,","SMD","05/15/01 17:33:52","jhm","10/01/02 12:02:29"
"R/EGD/1040","EGD",1040,"C/EGD/1040",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"R.P.C. 2ND S. V2 pp. 410, 442, 468-9, 624","SMD","05/15/01 17:33:52","SMD","05/15/01 17:33:52"
"R/EGD/1041","EGD",1041,"C/EGD/1041","RPC","2nd S, v2 p. 470",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","07/19/01 12:06:28"
"R/EGD/1042","EGD",1042,"C/EGD/1042","RPC","2nd S, v2 p. 362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","07/19/01 09:36:28"
"R/EGD/1043","EGD",1043,"C/EGD/1043","RPC","2nd S, v2 p. 471",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","07/19/01 12:25:46"
"R/EGD/1044","EGD",1044,"C/EGD/1044","RPC","2nd S, v2 p. 470-1",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","07/19/01 12:19:55"
"R/EGD/1045","EGD",1045,"C/EGD/1045","RPC","2nd S, v1 p. 353",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","07/19/01 09:24:37"
"R/EGD/1046","EGD",1046,"C/EGD/1046","RPC","2nd S, v2 p. 470-1",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","07/19/01 12:15:20"
"R/EGD/1047","EGD",1047,"C/EGD/1047","RPC","2nd series, ii, p. 482",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","jhm","06/07/01 14:41:02"
"R/EGD/1048","EGD",1048,"C/EGD/1048","RPC","2nd series, vol 2, p 482.",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","jhm","07/02/01 16:07:19"
"R/EGD/1049","EGD",1049,"C/EGD/1049","RPC","2nd series. Vol 2, p 482.",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","jhm","07/02/01 15:29:52"
"R/EGD/1050","EGD",1050,"C/EGD/1050","RPC","2nd S, v2 p. 489",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/14/01 10:17:19"
"R/EGD/1051","EGD",1051,"C/EGD/1051","RPC","2nd S, v2 p. 489",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/14/01 10:22:40"
"R/EGD/1052","EGD",1052,"C/EGD/1052","RPC","2nd S, v2 p. 489",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/14/01 10:19:06"
"R/EGD/1053","EGD",1053,"C/EGD/1053","RPC","2nd S, v2 p. 489",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/14/01 10:14:03"
"R/EGD/1054","EGD",1054,"C/EGD/1054","RPC","2nd S, v2 p. 476-7, 477; 2nd S, v3 p. 3-4, 27",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,"page 27 is just a note of ratification of the first commission that was not issued by the PC.","SMD","05/15/01 17:33:52","LEM","08/15/01 10:53:14"
"R/EGD/1055","EGD",1055,"C/EGD/1055","RPC","2nd S, v2 p. 494",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/14/01 10:32:12"
"R/EGD/1056","EGD",1056,"C/EGD/1056","RPC","2nd S, v2 p. 494",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/14/01 10:30:15"
"R/EGD/1057","EGD",1057,"C/EGD/1057","RPC","2nd S, v2 p. 481, 487",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Complaint","SMD","05/15/01 17:33:52","jhm","10/01/02 14:34:44"
"R/EGD/1058","EGD",1058,"C/EGD/1058","RPC","2nd S, v2 p. 494",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/14/01 10:39:31"
"R/EGD/1059","EGD",1059,"C/EGD/1059","RPC","2nd S, v2 p. 494",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/14/01 10:41:29"
"R/EGD/1060","EGD",1060,"C/EGD/1060","RPC","2nd S, v2 p. 516",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/14/01 10:55:10"
"R/EGD/1061","EGD",1061,"C/EGD/1061","RPC","2nd S, v2 p. 516",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/14/01 11:01:52"
"R/EGD/1062","EGD",1062,"C/EGD/1062","RPC","2nd S, v2 p. 516",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/14/01 10:54:34"
"R/EGD/1063","EGD",1063,"C/EGD/1063","RPC","2nd S, v2 p. 517",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/14/01 11:05:54"
"R/EGD/1064","EGD",1064,"C/EGD/1064","RPC","2nd S, v2 p. 517",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/14/01 11:08:10"
"R/EGD/1065","EGD",1065,"C/EGD/1065","RPC","2nd S, v2 p. 517",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/14/01 11:10:47"
"R/EGD/1066","EGD",1066,"C/EGD/1066","RPC","2nd S, v2 p. 518",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/14/01 12:14:13"
"R/EGD/1067","EGD",1067,"C/EGD/1067","RPC","2nd S, v2 p. 518",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/14/01 12:19:16"
"R/EGD/1068","EGD",1068,"C/EGD/1068","RPC","2nd series. Vol II, p 540.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Order to her son to bring her to Edinburgh.","SMD","05/15/01 17:33:52","jhm","08/26/02 14:22:47"
"R/EGD/1069","EGD",1069,"C/EGD/1069","RPC","2nd S, v2 p. 540; 2nd S, v3 p. 98",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/16/01 14:48:43"
"R/EGD/107","EGD",107,"C/EGD/107","Process Notes","JC26/2 witchcraft bundle, item 19",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","07/24/02 16:13:58"
"R/EGD/1070","EGD",1070,"C/EGD/1070","RPC","2nd S, v2 p. 540",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/14/01 12:48:25"
"R/EGD/1071","EGD",1071,"C/EGD/1071","RPC","2nd S, v2 p. 540",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/14/01 12:47:55"
"R/EGD/1073","EGD",1073,"C/EGD/1073","RPC","2nd series, vol II, p 542.",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","jhm","08/26/02 14:25:23"
"R/EGD/1075","EGD",1075,"C/EGD/1075","RPC","2nd S, v3 p. 15",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/15/01 13:52:29"
"R/EGD/1076","EGD",1076,"C/EGD/1076","RPC","2nd S, v3 pp. 15-16",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/15/01 13:47:12"
"R/EGD/1077","EGD",1077,"C/EGD/1077","RPC","2nd S, v3 p. 15-16",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/15/01 13:45:07"
"R/EGD/1078","EGD",1078,"C/EGD/1078","RPC","2nd S, v3 p. 15-16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/15/01 13:42:39"
"R/EGD/1079","EGD",1079,"C/EGD/1079","RPC","2nd S, v3 pp. 15-16",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/15/01 13:37:05"
"R/EGD/108","EGD",108,"C/EGD/108","Pitcairn","v I, part II, page 245-247",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","jhm","10/01/02 15:30:22"
"R/EGD/1080","EGD",1080,"C/EGD/1080","RPC","2nd S, v3 p. 16",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/15/01 14:04:32"
"R/EGD/1081","EGD",1081,"C/EGD/1081","RPC","2nd S, v3 p. 15",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/15/01 13:52:06"
"R/EGD/1082","EGD",1082,"C/EGD/1082","RPC","2nd S, v2 p. 468",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"2nd S, v2 p. 627 - a copy of the warrant and commission to Alexander Veitch for her arrest and examination.","SMD","05/15/01 17:33:52","jhm","10/01/02 15:40:15"
"R/EGD/1083","EGD",1083,"C/EGD/1083","RPC","2nd S, v3 p. 32",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/16/01 16:26:19"
"R/EGD/1084","EGD",1084,"C/EGD/1084","RPC","2nd S, v3 p. 32",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/30/01 10:38:42"
"R/EGD/1085","EGD",1085,"C/EGD/1085","RPC","2nd S, v3 p. 59",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/16/01 14:15:46"
"R/EGD/1086","EGD",1086,"C/EGD/1086","RPC","2nd S, v3 p. 62",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/16/01 15:08:20"
"R/EGD/1087","EGD",1087,"C/EGD/1087","RPC","2nd S, v3 p. 62",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/16/01 15:01:54"
"R/EGD/1088","EGD",1088,"C/EGD/1088","RPC","2nd S, v3 p. 62",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/16/01 15:09:03"
"R/EGD/1089","EGD",1089,"C/EGD/1089","RPC","2nd S, v3 p. 62",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/16/01 15:12:45"
"R/EGD/109","EGD",109,"C/EGD/109","Process Notes","JC26/2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"mentioned","SMD","05/15/01 17:33:52","LEM","08/22/02 14:26:23"
"R/EGD/1090","EGD",1090,"C/EGD/1090","RPC","2nd S, v3 p. 62",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/16/01 15:13:30"
"R/EGD/1091","EGD",1091,"C/EGD/1091","RPC","2nd S, v3 p. 59, 97, 123-124",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/16/01 14:03:11"
"R/EGD/1092","EGD",1092,"C/EGD/1092","RPC","2nd S, v3 p. 59, 97, 123-124",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/16/01 13:54:01"
"R/EGD/1093","EGD",1093,"C/EGD/1093","RPC","2nd S, v3 p. 98",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/16/01 14:22:46"
"R/EGD/1094","EGD",1094,"C/EGD/1094","RPC","2nd S v3, p. 4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,"payment to Edinburgh jailor.","SMD","05/15/01 17:33:52","LEM","06/12/01 10:54:19"
"R/EGD/1095","EGD",1095,"C/EGD/1095","RPC","2nd S, v3 p. 110",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/16/01 13:05:05"
"R/EGD/1096","EGD",1096,"C/EGD/1096","RPC","2nd S, v3 p. 110-111",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/16/01 13:31:02"
"R/EGD/1097","EGD",1097,"C/EGD/1097","RPC","2nd S, v3 p. 125",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/16/01 15:41:17"
"R/EGD/1098","EGD",1098,"C/EGD/1098","RPC","2nd S, v3 p. 98",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05/15/01 17:33:52","LEM","08/16/01 14:29:35"
"R/EGD/1099","EGD",1099,"C/EGD/1099","RPC","2nd S, v3 p. 145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"investigation",,"SMD","05/15/01 17:33:52","LEM","08/17/01 13:14:32"
