PersonRef,PersonID,PersonSystemId,FirstName,LastName,Other Details,Title,Occupation,Office,Residence,IsDeleted,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"JO/1100",1100,"JO","Robert","Miller",,"Mr","minister",,"Port Glasgow",0,"Minister at Port Glasgow in 1699. Involved in case in 1700.","jhm","12/04/01 15:42:41","jhm","12/02/03 11:51:28"
"JO/1101",1101,"JO","John","Paisley",,"Mr","minister",,"Lochwinnoch",0,"Minister at Lochwinnoch in 1699. Involved in case in 1700.","jhm","12/04/01 15:43:21","jhm","12/05/03 14:28:30"
"JO/1102",1102,"JO","George","Leslie",,"Mr","minister",,"Blantyre",0,"Minister in 1676/7. Involved in case in 1677.","jhm","12/04/01 16:14:50","jhm","12/01/03 15:44:37"
"JO/1103",1103,"JO","David","Elphinstone",,"Mr","minister",,"Dumbarton",0,"Minister at Dumbarton, 1633-1666. Commissioner to visit Glasgow university, 1639. Involved in cases in 1649-50.","jhm","12/05/01 13:29:04","jhm","11/20/03 16:41:46"
"JO/1104",1104,"JO","Patrick","Ramsay",,"Mr","minister",,"Kilpatrick",0,"Minister at Kilpatrick 1648-1665. Involved in cases in 1650.","jhm","12/05/01 13:57:46","jhm","12/12/03 10:15:25"
"JO/1105",1105,"JO","John","Duncan",,"Mr","minister",,"Culross",0,"Attended General Assemblies, 1638, 1642-8. Minister at Saline until transferred to Culross in 1632, died in 1655. Involved in case in 1649. Not the same as JO/1111.","jhm","01/16/02 11:58:26","jhm","11/20/03 16:04:42"
"JO/1106",1106,"JO","George","Colden",,"Mr","minister",,"Kinross",0,"Minister at Kinross, 1641-65. Involved in cases in 1649.","jhm","01/16/02 12:46:59","jhm","11/20/03 12:14:25"
"JO/1107",1107,"JO","William","Oliphant",,"Mr","minister",,"Dunfermline",0,"Minister at Dunfermline 1645-62, attended General Assembly 1648 and 1649. Involved in cases in 1649.","jhm","01/16/02 12:48:29","jhm","12/05/03 14:11:26"
"JO/1108",1108,"JO","Robert","Bruce",,"Mr","minister",,"Ballingry",0,"Involved in cases in 1649.","jhm","01/16/02 12:50:01","jhm","12/19/03 14:50:25"
"JO/1109",1109,"JO","George","Belfrage",,"Mr","minister",,"Carnock",0,"Minister at Culross then transferred to Carnock in 1647. Involved in cases in 1649.","jhm","01/16/02 12:51:56","jhm","12/19/03 14:36:27"
"JO/111",111,"JO","John","Baillie",,,,,"Haddington",0,"Involved in cases in 1649.","jhm","06/13/01 12:22:02","jhm","11/12/03 15:19:52"
"JO/1110",1110,"JO","Robert","Bruce",,"Mr","minister",,"Aberdour",0,"Minister at Aberdour 1637-67. Attended General Assemblies in 1645. Involved in cases in 1649 and 1661.","jhm","01/16/02 15:26:31","jhm","11/18/03 12:49:03"
"JO/1111",1111,"JO","John","Duncan",,"Mr","minister","First charge, Dunfermline","Dunfermline",0,"Minister at Dunfermline, 1632-1655. Attended General Assemblies 1638, 1642-8. Involved in case in 1649. Not the same as JO/1105.","jhm","01/16/02 15:30:17","jhm","11/20/03 16:05:23"
"JO/1112",1112,"JO","Henry","Smith",,"Mr","minister",,"Beath",0,"minister at Beath 1644-73. Involved in case in 1649.","jhm","01/16/02 15:31:51","jhm","12/15/03 11:50:20"
"JO/1113",1113,"JO","Robert","Edmonstone",,"Mr","minister",,"Dunfermline",0,"Minister of second charge, 1649-80. Involved in case in 1649.","jhm","01/16/02 15:32:44","jhm","11/20/03 16:33:17"
"JO/1114",1114,"JO","William","Nairn",,"Mr","minister","1st charge, Dysart","Dysart",0,"Minister of 1st charge, 1617-1653. Involved in cases in 1630, 1633, 1638 and 1649.","jhm","01/17/02 12:16:33","jhm","12/05/03 11:55:34"
"JO/1115",1115,"JO","James","Simpson",,"Mr","minister",,"Kirkcaldy",0,"Minister at Kirkcaldy, 1625-65. Involved in cases in 1633 and 1638.","jhm","01/17/02 15:09:24","jhm","12/15/03 10:14:39"
"JO/1116",1116,"JO","Thomas","Melville",,"Mr","minister",,"Kinglessie",0,"Minister at Kinglessie, 1630-75. Involved in case in 1638.","jhm","01/17/02 15:10:21","jhm","12/02/03 11:39:22"
"JO/1117",1117,"JO","John","Smith",,"Mr","minister",,"Leslie",0,"Minister of Leslie in Fife, 1634-43. Involved in case in 1638.","jhm","01/17/02 15:11:00","jhm","12/15/03 11:52:26"
"JO/1118",1118,"JO","William","Bell",,"Mr","minister",,"Auchtertool and Dron",0,"Minister in Auchtertool, 1636-41, then Dron, 1641-51. Involved in cases in 1638 and 1646.","jhm","01/17/02 15:11:37","jhm","12/19/03 14:37:08"
"JO/1119",1119,"JO","George","Gillespie",,"Mr","minister",,"Wemyss",0,"Minister at Wemyss, 1638-42. Involved in case in 1638.","jhm","01/17/02 15:12:20","jhm","11/25/03 12:35:09"
"JO/112",112,"JO","William","Trent",,"Mr","minister",,"Haddington",0,"Minister, 2nd charge Haddington. Involved in cases in 1649 and 1661.","jhm","06/13/01 12:26:07","jhm","12/17/03 11:55:50"
"JO/1120",1120,"JO","Lawrence","Skinner",,"Mr the elder","minister",,,0,"Son also Lawrence and a minister in Brechin presbytery. Skinner the elder was minster at Navar and attended the GA in 1638 and was a commissioner to the GA in 1646. Died in 1647. He was involved in case in 1642.","jhm","02/05/02 13:42:14","jhm","01/22/04 13:59:44"
"JO/1121",1121,"JO","Lawrence","Skinner",,"Mr the younger","minister",,,0,"Father also Lawrence and also a minister. Skinner younger was minister at Brechin, 1650-1689 and was involved in cases in 1650 and 1659.","jhm","02/05/02 13:44:15","jhm","01/22/04 14:00:03"
"JO/1122",1122,"JO","Robert","Norrie",,"Mr","minister",,"Strathcathro",0,"Minister at Strathcathro 1620-1643. Involved in case in 1642.","jhm","02/05/02 13:45:56","jhm","12/05/03 12:39:05"
"JO/1124",1124,"JO","Robert","Norrie",,"Mr","minister",,"Lethnot and Navar",0,"Minister at Lethnot and Navar 1639-1683. Involved in cases in 1642 and 1650.","jhm","02/05/02 13:47:51","jhm","12/05/03 12:37:42"
"JO/1125",1125,"JO","Patrick","Simpson",,"Mr","minister",,"Logie",0,"Minister at Montrose then Logie, 1645-1672. Involved in case in 1650.","jhm","02/05/02 14:54:40","jhm","01/22/04 13:56:58"
"JO/1126",1126,"JO","Thomas","Cooper",,"Mr","minister",,"Montrose",0,"Minister at Montrose 1642-1662. His wife was the daughter of a suspected witch, Robert Burrell of Cooper. Involved in cases in 1650 and 1659.","jhm","02/05/02 14:55:38","jhm","11/20/03 13:32:39"
"JO/1127",1127,"JO","William","Lighton",,"Mr","minister",,"Dun",0,"Minister at Dun, 1646-1685. Involved in case in 1650.","jhm","02/05/02 14:56:16","jhm","01/22/04 11:10:53"
"JO/1128",1128,"JO","Alexander","Rennot",,,,"ruling elder",,0,"Involved in case in 1650.","jhm","02/05/02 14:56:47","jhm","12/12/03 10:53:17"
"JO/1129",1129,"JO","David","Campbell",,"Mr","minister",,"Menmuir",0,"Minister at Menmuir 1644-1690s. Involved in 1649-50 Brechin cases.","jhm","02/05/02 15:19:50","jhm","11/20/03 10:24:40"
"JO/113",113,"JO","Patrick","Young",,,,"bailie","Haddington",0,"Involved in cases in 1649 and 1661-2.","jhm","06/13/01 12:31:04","jhm","12/19/03 11:30:32"
"JO/1130",1130,"JO","William","Raitt",,"Mr","minister",,"Brechin",0,"Minister at Brechin, 1644-1661. Attended General Assembly and was on commissions in 1646, 1647 and 1649. Involved in cases in 1650 and 1659.","jhm","02/05/02 15:43:23","jhm","01/22/04 12:19:43"
"JO/1131",1131,"JO","David","Ochterlony",,"Mr","minister",,"Oathlaw or Finavon",0,"Minister at Oathlaw or Finavon, 1650-1658, later moved to Fordoun. Involved in cases in 1650.","jhm","02/05/02 16:01:47","jhm","12/05/03 13:52:11"
"JO/1132",1132,"JO","James","Thomson",,"Mr","minister",,"Kinell",0,"Minister at Kinell, 1640-1675. Commissioner for General Assembly 1649. Involved in 1649-50 Brechin cases.","jhm","02/07/02 10:08:48","jhm","12/17/03 11:14:00"
"JO/1133",1133,"JO","Dugald","Jameson",,,,"bailie","Brechin",0,"Involved in 1649-50 Brechin cases.","jhm","02/07/02 10:09:45","jhm","01/22/04 10:17:14"
"JO/1134",1134,"JO","John","Ochterlony",,"Mr",,,,0,"This may be John Ochterlony provost of Brechin or more likely his son who graduated MA from St Andrews in 1645 and was later minister at Aberlemno. Involved in case in 1650.","jhm","02/07/02 10:10:52","jhm","12/05/03 13:52:46"
"JO/1135",1135,"JO","David","Donaldson",,,,"bailie","Brechin",0,"Involved in 1649-50 Brechin cases.","jhm","02/07/02 10:12:00","jhm","11/20/03 15:05:00"
"JO/1136",1136,"JO","George","Dempster",,,,"master of the hospital",,0,"Involved in 1649-50 Brechin case.","jhm","02/07/02 10:12:34","jhm","01/07/04 11:34:05"
"JO/1137",1137,"JO","John","Symer",,"younger of Brathwast",,,"Brathwast",0,"Involved in 1649-50 Brechin cases. No further details about where Brathwast was/is.","jhm","02/07/02 10:16:32","jhm","12/17/03 10:33:42"
"JO/1138",1138,"JO","John","Ormcause",,"younger","baxter",,,0,"Involved in 1649-50 Brechin case.","jhm","02/07/02 10:17:47","jhm","12/05/03 14:20:01"
"JO/1139",1139,"JO","John","Liddell",,,,"kirk treasurer",,0,"Involved in Brechin cases in 1649-50.","jhm","02/07/02 11:22:05","jhm","12/01/03 15:59:13"
"JO/114",114,"JO","George","Cockburn",,,,"treasurer","Haddington",0,"Involved in case in 1649.","jhm","06/13/01 12:46:45","jhm","11/20/03 11:44:16"
"JO/1140",1140,"JO","Alexander","Simpson",,"Mr","minister",,"Lawrencekirk",0,"Minister at Lawrencekirk, 1607-1657. Attended General Assembly in 1638 and 1639. Involved in case in 1650.","jhm","02/07/02 14:12:43","jhm","12/17/03 10:35:13"
"JO/1141",1141,"JO","James","Valentine","indweller",,,,"Lawrencekirk",0,"Involved in case in 1650.","jhm","02/07/02 14:13:26","jhm","01/22/04 14:17:04"
"JO/1142",1142,"JO","David","Souter","indweller",,,,"Lawrencekirk",0,"Involved in case in 1650.","jhm","02/07/02 14:14:00","jhm","12/15/03 12:12:46"
"JO/1143",1143,"JO","Robert","Rynd",,"Mr",,,,0,"Involved in case in 1649-50.?from Montrose.","jhm","02/07/02 15:03:08","jhm","12/12/03 14:33:01"
"JO/1144",1144,"JO","John","Cruill",,,,"elder and clerk to the kirk session","Montrose",0,"Involved in case in 1649-50. Note: elder in kirk session rather than title.","jhm","02/07/02 15:04:52","jhm","11/20/03 14:05:30"
"JO/1145",1145,"JO","James","Granger",,"Mr","minister",,"Kinneff",0,"Involved in 1649-50 case in Brechin.","jhm","02/07/02 15:06:56","jhm","11/27/03 09:49:53"
"JO/1146",1146,"JO","John","Nicol",,"Mr",,,,0,"Involved in 1649-50 case. ?from Montrose.","jhm","02/07/02 15:08:52","jhm","12/05/03 12:16:03"
"JO/1147",1147,"JO","John","Paterson",,,,,,0,"Involved in 1649-50 case. ?residence Montrose.","jhm","02/07/02 15:09:26","jhm","12/05/03 14:31:12"
"JO/1148",1148,"JO","William","Alexander",,"Mr",,,,0,"Involved in case in 1650. ?from Menmuir.","jhm","02/07/02 16:08:27","jhm","12/19/03 14:18:03"
"JO/1149",1149,"JO","Robert","Murray",,"Mr",,,,0,"?residence was Menmuir. Involved in case in 1650.","jhm","02/07/02 16:08:55","jhm","12/05/03 10:45:25"
