CustomRef,CustomSystemId,CustomID,CaseRef,Custom_Type,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"CU/LA/154","LA",154,"C/EGD/353","Lammas","LEM","08/01/02 09:28:16","LEM","08/01/02 09:28:18"
"CU/LA/155","LA",155,"C/EGD/273","Whitsunday","LEM","08/01/02 10:52:23","LEM","08/01/02 10:52:25"
"CU/LA/156","LA",156,"C/EGD/273","Michaelmas","LEM","08/01/02 10:52:31","LEM","08/01/02 10:52:52"
"CU/LA/157","LA",157,"C/EGD/1558","Lammas","LEM","08/22/02 10:49:34","LEM","08/22/02 10:49:35"
"CU/LA/158","LA",158,"C/EGD/1558","Yule","LEM","08/22/02 10:49:35","LEM","08/22/02 10:49:36"
"CU/LA/159","LA",159,"C/EGD/1558","Easter","LEM","08/22/02 10:49:38","LEM","08/22/02 10:49:51"
"CU/LA/16","LA",16,"C/EGD/364","Beltane","LEM","06/29/01 11:56:36","LEM","06/29/01 11:56:38"
"CU/LA/160","LA",160,"C/EGD/1558","Candlemas","LEM","08/22/02 10:50:27","LEM","08/22/02 10:50:29"
"CU/LA/161","LA",161,"C/EGD/597","Candlemas","LEM","08/28/02 11:29:12","LEM","08/28/02 11:29:23"
"CU/LA/167","LA",167,"C/EGD/597","Sabbath","LEM","11/11/02 11:56:41","LEM","11/11/02 11:56:45"
"CU/LA/168","LA",168,"C/EGD/170","St Peter's Day","LEM","11/18/02 16:45:21","LEM","11/18/02 16:45:28"
"CU/LA/17","LA",17,"C/LA/2781","Beltane","LEM","06/29/01 11:59:53","LEM","06/29/01 11:59:59"
"CU/LA/18","LA",18,"C/EGD/384","Martinmas","LEM","06/29/01 12:25:16","LEM","06/29/01 12:25:17"
"CU/LA/19","LA",19,"C/EGD/381","Whitsunday","LEM","06/29/01 12:51:17","LEM","06/29/01 12:51:25"
"CU/LA/2","LA",2,"C/EGD/162","Lammas","LEM","05/18/01 13:04:53","LEM","05/18/01 13:04:54"
"CU/LA/20","LA",20,"C/EGD/390","Whitsunday","LEM","07/02/01 09:33:34","LEM","07/02/01 09:33:35"
"CU/LA/21","LA",21,"C/EGD/391","Handsel Monday","LEM","07/02/01 10:12:52","LEM","07/02/01 10:14:28"
"CU/LA/22","LA",22,"C/EGD/434","Fastings eve","LEM","07/03/01 13:25:56","LEM","07/03/01 13:26:04"
"CU/LA/23","LA",23,"C/EGD/388","Candlemas","LEM","07/09/01 16:12:58","LEM","07/09/01 16:13:00"
"CU/LA/24","LA",24,"C/EGD/359","Candlemas","LEM","07/10/01 10:03:07","LEM","07/10/01 10:03:09"
"CU/LA/25","LA",25,"C/EGD/408","Lammas","LEM","07/10/01 10:38:28","LEM","07/10/01 10:38:30"
"CU/LA/26","LA",26,"C/EGD/408","Whitsunday","LEM","07/10/01 10:38:34","LEM","07/10/01 10:38:35"
"CU/LA/27","LA",27,"C/EGD/389","Fastings eve","LEM","07/10/01 12:24:00","LEM","07/10/01 12:24:03"
"CU/LA/29","LA",29,"C/EGD/140","Halloween","LEM","09/25/01 17:03:09","LEM","09/25/01 17:03:16"
"CU/LA/3","LA",3,"C/EGD/162","Borrowing days","LEM","05/18/01 13:04:57","LEM","05/18/01 13:05:02"
"CU/LA/30","LA",30,"C/EGD/140","Beltane","LEM","09/25/01 17:06:09","LEM","09/25/01 17:06:28"
"CU/LA/31","LA",31,"C/EGD/140","Whitsunday","LEM","10/01/01 10:32:20","LEM","10/01/01 10:32:21"
"CU/LA/38","LA",38,"C/EGD/39","Halloween","LEM","10/08/01 11:40:29","LEM","10/08/01 11:40:38"
"CU/LA/39","LA",39,"C/EGD/45","Halloween","LEM","10/08/01 11:41:57","LEM","10/08/01 11:42:00"
"CU/LA/4","LA",4,"C/EGD/166","Michaelmas","LEM","05/21/01 11:34:50","LEM","05/21/01 11:35:31"
"CU/LA/40","LA",40,"C/EGD/39","Easter","LEM","10/08/01 11:59:47","LEM","10/08/01 12:00:04"
"CU/LA/41","LA",41,"C/EGD/46","Halloween","LEM","10/08/01 12:03:06","LEM","10/08/01 12:03:10"
"CU/LA/42","LA",42,"C/EGD/47","Easter","LEM","10/08/01 12:16:07","LEM","10/08/01 12:16:08"
"CU/LA/43","LA",43,"C/EGD/59","Halloween","LEM","10/09/01 09:43:51","LEM","10/09/01 09:44:12"
"CU/LA/46","LA",46,"C/EGD/63","Halloween","LEM","10/09/01 10:14:39","LEM","10/09/01 10:14:41"
"CU/LA/48","LA",48,"C/EGD/63","Easter","LEM","10/09/01 10:36:26","LEM","10/09/01 10:36:56"
"CU/LA/49","LA",49,"C/EGD/63","Michaelmas","LEM","10/09/01 10:36:56","LEM","10/09/01 10:36:59"
"CU/LA/5","LA",5,"C/EGD/179","St. Andrew's Day","LEM","05/21/01 16:42:18","LEM","05/21/01 16:43:37"
"CU/LA/50","LA",50,"C/EGD/110","Halloween","LEM","10/10/01 09:21:43","LEM","10/10/01 09:22:01"
"CU/LA/6","LA",6,"C/EGD/183","Lammas","LEM","05/22/01 14:50:34","LEM","05/22/01 14:50:37"
"CU/LA/7","LA",7,"C/EGD/183","Michaelmas","LEM","05/22/01 14:54:29","LEM","05/22/01 14:54:32"
"CU/LA/83","LA",83,"C/EGD/102","Halloween","LEM","10/12/01 12:35:38","LEM","10/12/01 12:35:41"
"CU/LA/84","LA",84,"C/EGD/104","Michaelmas","LEM","10/16/01 10:10:34","LEM","10/16/01 10:10:40"
"CU/LA/85","LA",85,"C/EGD/104","Lammas","LEM","10/16/01 10:10:41","LEM","10/16/01 10:10:41"
"CU/LA/86","LA",86,"C/EGD/104",,"LEM","10/16/01 10:10:51","LEM","10/16/01 10:10:54"
"CU/LA/87","LA",87,"C/EGD/29","Candlemas","LEM","10/18/01 10:08:33","LEM","10/18/01 10:08:40"
"CU/LA/88","LA",88,"C/EGD/1338","Easter","LEM","10/19/01 10:32:31","LEM","10/19/01 10:32:50"
"CU/LA/89","LA",89,"C/EGD/1339","Whitsunday","LEM","10/19/01 12:20:19","LEM","10/19/01 12:20:19"
"CU/LA/90","LA",90,"C/EGD/1339","Candlemas","LEM","10/19/01 12:23:20","LEM","10/19/01 12:23:36"
"CU/LA/91","LA",91,"C/EGD/1322","Easter","LEM","10/19/01 16:09:12","LEM","10/19/01 16:09:16"
"CU/LA/92","LA",92,"C/EGD/1322","Fastings eve","LEM","10/19/01 16:10:07","LEM","10/19/01 16:11:24"
"CU/LA/93","LA",93,"C/EGD/963","Beltane","LEM","10/23/01 15:28:28","LEM","10/23/01 15:28:29"
"CU/LA/94","LA",94,"C/EGD/963","Candlemas","LEM","10/23/01 15:28:29","LEM","10/23/01 15:28:30"
"CU/LA/95","LA",95,"C/EGD/963","Fastings eve","LEM","10/23/01 15:28:36","LEM","10/23/01 15:28:37"
"CU/LA/96","LA",96,"C/EGD/963","Halloween","LEM","10/23/01 15:28:39","LEM","10/23/01 15:28:40"
"CU/LA/97","LA",97,"C/EGD/964","Candlemas","LEM","10/23/01 15:50:23","LEM","10/23/01 15:50:24"
"CU/LA/98","LA",98,"C/EGD/964","Yule","LEM","10/23/01 15:50:26","LEM","10/23/01 15:50:27"
"CU/LA/99","LA",99,"C/LA/2911","Lammas","LEM","11/21/01 14:53:54","LEM","11/21/01 14:54:00"
