Year,County,Waterbody,Town,Month,Number,Species,Size (Inches)
2017,Hamilton,Ale Pond,Morehouse,September,450,Brook Trout,5
2016,Greene,Batavia Kill,Windham,May,90,Brown Trout,8.9
2014,Onondaga,Nine Mile,NA,May,2094,Brook Trout,7
2014,Essex,Wolf Pond,North Hudson,September,2300,Brook Trout,3.8
2014,Otsego,Schenevus Creek,Maryland,April,3950,Brown Trout,7.8
2017,Herkimer,Stillwater Reservoir,Webb,May,1060,Splake,9.5
2017,Hamilton,South Branch West Canada Creek,"Hoffmeister,Morehouseville",May,250,Brown Trout,13
2016,Essex,Moose Mountain Pond,North Hudson,October,1900,Brook Trout,4.2
2015,Ulster,Vernooy Kill,Wawarsing,April,1640,Brook Trout,8
2013,Warren,Patterson Brook,Thurman,April,700,Brook Trout,10
2016,Ulster,Stony Kill,Rochester,May,260,Brook Trout,8.2
2016,Westchester,Stone Hill River,Bedford,March,100,Brown Trout,13.5
2015,Rockland,Ramapo River,Sloatsburg,March,200,Brown Trout,13.1
2017,Essex,LaChute River,Ticonderoga,October,750,Rainbow Trout,14
2013,Monroe,Irondequoit Creek,"Brighton, Penfield, Perinton",May,4140,Brown Trout,8.7
2015,Putnam,Pelton Pond,Kent,April,300,Rainbow Trout,9
2015,Jefferson,Black Creek West Branch,Wilna,May,440,Brook Trout,9.3
2017,Genesee,Oatka Creek,Le Roy,April,1400,Brown Trout,8.8
2011,Essex,West Branch Ausable (Ausable Acres),Jay,May,250,Rainbow Trout,14
2015,Essex,Eagle Lake,"Crown Point, Ticonderoga",May,3940,Brown Trout,8.9
2015,Madison,Otselic River,Georgetown,April,800,Brown Trout,7.9
2012,Rensselaer,Poesten Kill,Brunswick,May,1420,Brown Trout,8.2
2017,Schuyler,Ballard Pond,Hector,May,560,Brook Trout,8.8
2012,St Lawrence,Darning Needle Pond,Clifton,November,253,Brook Trout,4.3
2013,Rensselaer,Poesten Kill,Poestenkill,May,110,Brown Trout,8.2
2017,Allegany,Rushford Lake,NA,November,3600,Brown Trout,5.7
2017,Monroe,Lake Ontario,Webster,May,15000,Brown Trout,8.2
2013,Hamilton,Gilman Lake,Lk Pleasant,April,800,Rainbow Trout,9.3
2015,Herkimer,Witchhopple,webb,May,300,Landlocked Salmon,6.8
2014,Franklin,Big Hope Pond,Franklin,October,700,Brook Trout,4.5
2015,Clinton,Saranac River,Black Brook,May,3800,Rainbow Trout,8.6
2017,Suffolk,Hards Lake,Brookhaven,April,200,Brown Trout,13.1
2015,Wyoming,East Koy Creek,Gainesville,March,3420,Brown Trout,8.5
2015,Ulster,Sandburg Creek,Wawarsing,April,860,Brown Trout,8.3
2013,Suffolk,Upper Lake,Brookhaven,November,300,Brown Trout,11.7
2017,Onondaga,Spruce Pond,NA,April,900,Rainbow Trout,9.1
2015,Oneida,Mohawk River,Rome,June,3590,Brown Trout,7.8
2018,Sullivan,Callicoon Ck North Branch,Callicoon,April,170,Brown Trout,12.7
2011,Albany,Catskill Creek,Rensselaerville,April,720,Brown Trout,8.8
2011,Onondaga,Tannery Creek,NA,March,50,Brook Trout,9.6
2018,Steuben,Post Creek,Hornby,March,520,Brown Trout,8.4
2013,Washington,Batten Kill,Greenwich,April,2470,Brown Trout,8.1
2015,Essex,Ausable River,Chesterfield,July,400,Brown Trout,13
2013,Essex,Westport Reservoir 1,Westport,April,100,Brook Trout,8
2017,Hamilton,Little Moose Pond,Arietta,September,1500,Brook Trout,5
2017,Dutchess,Sprout Creek,East Fishkill,April,1070,Brown Trout,8.7
2015,Oswego,Beaverdam Brook,Albion,May,29350,Steelhead,4.9
2011,Hamilton,Raquette River,"Long Lake, Arietta",May,800,Brown Trout,8.3
2015,Steuben,Keuka Lake,Urbana,April,8050,Brown Trout,9
2017,St Lawrence,Little River,"Canton, Russell",May,1650,Brown Trout,9.1
2014,Essex,Warren Pond,North Elba,October,300,Brook Trout,4
2018,Cattaraugus,New Albion LAke,NA,October,25,Brown Trout,24
2014,Cortland,East Branch Tioughnioga River,Cortlandville,April,400,Brown Trout,13.3
2018,Essex,Big Sherman Pond,Minerva,May,150,Brown Trout,7.1
2017,Fulton,Long Pond,Stratford,October,400,Brook Trout,5
2018,Onondaga,Carpenter's Brook,NA,April,200,Brown Trout,12.2
2011,Chautauqua,Middle Cassadaga Lake,Stockton,June,600,Walleye,1.8
2012,Cattaraugus,County Pond A,Randolph,April,100,Brook Trout,8.9
2015,Lewis,Cleveland Lake,Watson,September,500,Brook Trout,3.9
2011,Essex,Saranac River,St. Armand,May,1740,Brown Trout,8.3
2013,Cattaraugus,New Albion Lake,NA,October,200,Brook Trout,14.9
2013,Onondaga,Furnace Brook,NA,April,200,Brook Trout,8.4
2012,Nassau,Massapequa Creek,Oyster Bay,March,50,Brown Trout,13.4
2016,Madison,Chittenango Creek,NA,May,150,Brown Trout,13
2012,Hamilton,Pine Lake,Indian Lake,September,1500,Brook Trout,4.1
2018,Dutchess,Wappingers Creek,Pleasant Valley,April,4180,Brown Trout,9
2015,Sullivan,Rio Reservoir,"Lumberland, Forestburgh, and D",June,8700,Walleye,1.5
2018,Sullivan,Callicoon Creek East Branch,Delaware,April,780,Brown Trout,9
2012,Dutchess,Ten Mile River,Amenia,April,100,Brown Trout,13.6
2014,Ulster,Sandburg Creek,Wawarsing,April,100,Brown Trout,13.5
2018,Essex,Lost Pond,Ticonderoga,May,440,Brown Trout,8.2
2012,Cattaraugus,Great Valley Creek,Great Valley,March,2390,Brown Trout,8
2015,Jefferson,Millsite Lake,Theresa,April,500,Rainbow Trout,8.3
2015,Niagara,Lake Ontario,Newfane,June,10000,Rainbow Trout,9.6
2016,Greene,Catskill Creek,Cairo,May,340,Brown Trout,9
2013,Onondaga,Geddes Brook,NA,May,5,Rainbow Trout,26
2011,Wayne,Port Bay,"Huron,Wolcott",June,10400,Walleye,1.6
2012,Cattaraugus,Birch Run Pond,NA,October,65,Brook Trout,14.1
2014,Herkimer,Mohawk River,Danube,September,4200,Tiger Muskellunge,8.2
2017,Fulton,"Anthony Creek, T1",Mayfield,April,210,Brown Trout,8
2011,Oneida,West Canada Creek,"Trenton, Deerfield",June,3470,Brown Trout,9.8
2013,Franklin,Ochre Pond,Santa Clara,October,800,Brook Trout,4.3
2013,Chautauqua,Goose Creek,"N Harmony, Harmony",May,100,Brown Trout,13.4
2016,Cortland,Otselic River,NA,March,280,Brown Trout,12.5
2014,Suffolk,Carlls River,Babylon,March,80,Rainbow Trout,8.9
2017,Onondaga,Glacier Lake,Dewitt,May,30000,Walleye,0.3
2014,Sullivan,Callicoon Creek East Branch,Delaware,April,110,Brown Trout,13.4
2018,Cortland,Otselic River,Cincinnatus,April,2350,Brown Trout,7.9
2018,Washington,Hartshorn Brook,Greenwich,May,300,Brown Trout,8.1
2016,Herkimer,Twitchell Lake,Webb,January,1750,Brook Trout,8
2018,Ontario,Honeoye Lake,Canadice,June,33400,Walleye,1.6
2011,Tioga,West Branch Owego Creek,Richford,March,3220,Brown Trout,8.8
2014,Hamilton,Grant Lake,Benson,September,200,Brook Trout,3.7
2015,Allegany,Allen Lake,NA,October,25,Rainbow Trout,21.3
2017,Sullivan,Mongaup River East Branch,Fallsburg,April,830,Brown Trout,8.9
2012,Madison,Chenango River,Eaton,May,670,Brown Trout,9.6
2014,Hamilton,Bennett Lake,Hope,September,2000,Brook Trout,3.7
2016,Hamilton,Middle Metcalf Chain Lake,Morehouse,January,400,Brook Trout,5
2012,Essex,Trout Brook,Ticonderoga,May,270,Brown Trout,9
2018,Putnam,Croton River East Branch,Patterson,March,1740,Brown Trout,9.3
2013,Rockland,Ramapo River,Sloatsburg,April,250,Brown Trout,8.7
2018,Ulster,Verkeeder Kill,Shawangunk,April,700,Brown Trout,9.2
2013,Hamilton,Moose River,Morehouse,May,1100,Brook Trout,9.3
2015,Chenango,Otselic River,Pitcher,April,750,Brown Trout,12.4
2015,Warren,Lake George,"Bolton, Hague",May,15000,Landlocked Salmon,7
2013,Onondaga,Carpenter's Brook,NA,March,150,Brown Trout,12.5
2014,Warren,Long Pond,Horicon,September,1600,Brook Trout,4.2
2016,St Lawrence,Horseshoe Pond,Piercefield,September,800,Brook Trout,5
2011,Fulton,Meco Creek,Johnstown,June,300,Brown Trout,8.8
2016,Tioga,Catatonk Creek,Candor,April,1380,Brown Trout,9.1
2015,Ulster,Pine Hill Lake,Shandaken,April,170,Brown Trout,8.3
2013,Essex,Crane Pond,Schroon,May,330,Lake Trout,7.4
2018,Dutchess,Roeliff Jansen Kill,Milan,May,1130,Brown Trout,8.9
2013,Dutchess,Sylvan Lake,Beekman,April,1450,Brown Trout,8.8
2015,Genesee,Oatka Creek,Le Roy,April,2820,Brown Trout,8.1
2014,Fulton,Holmes Lake,Bleecker,September,1500,Brook Trout,3.8
2018,St Lawrence,Round Pond,Piercefield,October,80,Brook Trout,4.5
2016,Essex,Ensign Pond,Moriah,March,350,Brown Trout,13
2017,Essex,Hatch Pond,North Hudson,October,500,Brook Trout,4.1
2016,Essex,North Branch Boquet River,Willsboro,April,600,Brown Trout,13
2015,Jefferson,South Sandy Creek,Worth,May,520,Brook Trout,9.3
2013,Warren,Trout Brook,Chester,May,1600,Rainbow Trout,9
2012,Oneida,Big Creek,Marshall,May,1060,Brown Trout,8
2015,Franklin,Little Salmon River,Moira & Bangor,May,190,Brown Trout,12.8
2012,Broome,Oquaga Creek,Sanford,April,1420,Brown Trout,8.9
2014,Greene,Catskill Creek,Cairo,April,300,Brown Trout,13.5
2012,Washington,Batten Kill,Greenwich,May,1240,Brown Trout,8.2
2016,Essex,Hudson River,Minerva,January,1970,Brown Trout,8
2016,Chenango,Jeffrey Pond,N Norwich,January,960,Brook Trout,8
2014,Suffolk,Belmont Lake,Babylon,April,250,Brown Trout,13.5
2013,St Lawrence,Grass River,Russell,May,650,Brown Trout,8.9
2013,Sullivan,Beaver Kill,Rockland,May,800,Brown Trout,9.2
2015,Columbia,Kinderhook Creek,New Lebanon,April,1880,Brown Trout,7.8
2017,Ulster,Sawkill Creek,Woodstock,April,890,Brown Trout,8.9
2015,Erie,Little Buffalo Ck,"Lancaster, Elma",March,200,Brown Trout,13.4
2016,Dutchess,Fishkill Creek,"Beacon, Fishkill",March,150,Brown Trout,13.6
2012,Allegany,Rushford Lake,Caneadea,April,3800,Rainbow Trout,9
2017,Onondaga,Skaneateles Creek,NA,March,650,Rainbow Trout,10.2
2014,Herkimer,Unadilla River,"Columbia, Winfield",May,1980,Brown Trout,8
2017,Fulton,Hale Creek,Johnstown,April,660,Brown Trout,8
2018,Rensselaer,Poesten Kill,Brunswick,April,200,Brown Trout,13
2014,Wyoming,Cattaraugus Creek,Java,March,600,Brown Trout,13.8
2014,Essex,Lower Cascade Lake,Keene,September,1500,Brook Trout,4.2
2015,Niagara,Lake Ontario,Newfane,May,10690,Brown Trout,8.7
2017,Herkimer,West Canada Creek,"Fairfield, Herkimer, Newport",May,2890,Brown Trout,8
2016,St Lawrence,Grass River,Russell,June,780,Brown Trout,8.2
2013,Clinton,Chazy Lake,Dannemora,April,7700,Rainbow Trout,9.1
2012,Franklin,Alder Brook,Franklin,May,380,Brook Trout,8.1
2011,Essex,Schroon River,Schroon,May,900,Brook Trout,8
2017,Sullivan,Ten Mile River,Tusten,May,490,Brown Trout,9.4
2011,Hamilton,Pine Lake,Indian Lake,September,1200,Brook Trout,4.6
2016,Washington,"Halfway Creek, T5 of T8",Fort Ann,April,430,Brown Trout,8
2013,Oneida,Sconondoa Creek,Vernon,May,550,Brown Trout,8.7
2013,Chenango,Bear Brook,Oxford,October,1100,Brown Trout,4.8
2012,Warren,Thirteenth Lake,Johnsburg,April,1100,Rainbow Trout,9.23
2016,Greene,Schoharie Creek,"Jewett, Lexington",April,950,Brown Trout,9
2017,Essex,West Branch Ausable River,North Elba,May,2310,Brown Trout,8
2018,Chemung,Sing Sing Creek,Big Flats,March,170,Brown Trout,8.4
2018,Onondaga,Nine Mile,NA,April,2100,Brown Trout,8
2012,Lewis,South Creek,Diana,May,270,Brown Trout,9.6
2015,Greene,Kaaterskill,Catskill,May,100,Brown Trout,12.8
2016,Oneida,Fish Creek East Branch,Annsville,January,3420,Brown Trout,8
2014,Greene,Schoharie Creek,"Jewett, Hunter",May,1030,Brown Trout,9
2017,Dutchess,Ten Mile River,Amenia,March,1160,Brown Trout,8.3
2013,Clinton,Peru F & G Club Pond,Peru,April,100,Brook Trout,8
2018,Chautauqua,Bear Lake,Pomfret,October,550,Muskellunge,8.4
2011,Chautauqua,Lake Erie,Westfield,November,15000,Rainbow Trout,6.2
2018,Rensselaer,Second Pond,Grafton,May,440,Brown Trout,8.9
2012,Saratoga,Great Sacandaga Lake,Day,March,6000,Rainbow Trout,8
2012,Herkimer,Beardsley Lake,Manheim,April,3640,Brown Trout,9
2014,Cayuga,Owasco Inlet,Locke,April,400,Brown Trout,13.7
2011,Franklin,Upper Saranac Lake,NA,June,2938,Landlocked Salmon,6.5
2016,Otsego,Elk Brook,Maryland,April,300,Brown Trout,7.9
2015,Westchester,Muscoot Reservoir,Somers,April,1000,Rainbow Trout,9
2011,Delaware,Beaver Kill,Colchester,April,300,Brown Trout,13.2
2012,Albany,Onesquethaw Creek,New Scotland,April,100,Brown Trout,13
2017,Lewis,Otter Creek,Greig,May,250,Brown Trout,13
2017,Franklin,Chateaugay River,Chateaugay,May,1550,Rainbow Trout,9.2
2012,Hamilton,Slim Pond,Arietta,May,90,Brown Trout,7.7
2014,Franklin,Chateaugay River,Chateaugay-Bellmont,April,1290,Brown Trout,8.1
2013,Delaware,Big Pond,Andes,April,250,Rainbow Trout,9
2011,Suffolk,Carlls River,Babylon,May,80,Brown Trout,8.8
2013,Oneida,Black River,"Boonville, Forestport",June,4800,Brown Trout,8.3
2011,Otsego,Otego Creek,Hartwick,April,130,Brown Trout,13
2016,Tioga,East Branch Owego Creek,"Newark Valley, Owego",March,1770,Brown Trout,9
2018,Sullivan,Neversink River,Fallsburg,May,850,Brook Trout,8.4
2016,Putnam,Croton River East Branch,Southeast,March,400,Rainbow Trout,9
2016,Herkimer,Independence River,NA,July,2500,Brook Trout,3.5
2013,Ontario,Canandaigua Outlet,Phelps / Manchester,April,650,Brown Trout,8.5
2014,Chautauqua,Walnut Creek,Hanover,April,10000,Steelhead,4.9
2013,Allegany,Genesee River,NA,October,50,Brown Trout,25.5
2015,Essex,Deer Pond,Minerva,September,1400,Brook Trout,4.6
2011,Greene,Batavia Kill,Windham,May,80,Brown Trout,8.8
2013,Chautauqua,Chautauqua Lake,NA,June,93417,Walleye,1.6
2011,Suffolk,Upper Lake,Brookhaven,March,400,Rainbow Trout,8.2
2013,Monroe,Oatka Creek,Wheatland,May,800,Brown Trout,8.7
2016,Suffolk,Upper Lake,Brookhaven,October,300,Brown Trout,12.2
2017,Hamilton,Queer Lake,Long Lake,September,2200,Brook Trout,5
2011,Allegany,Rushford Lake,Caneadea,April,3800,Rainbow Trout,9.2
2012,Oneida,Fish Creek East Branch,Annsville,May,1330,Brown Trout,8.1
2018,Ulster,Sawkill Creek,Woodstock,April,80,Brown Trout,12.7
2011,Cortland,Little York Lake,Homer,May,850,Brown Trout,7.2
2012,Steuben,Cohocton River,Avoca,March,300,Brown Trout,13.4
2011,Herkimer,Fulmer Creek,German Flats,April,300,Brown Trout,8.2
2016,Herkimer,Little Salmon Lake,Ohio,January,1000,Brook Trout,5
2016,Orleans,Lake Ontario,Carlton,May,16380,Brown Trout,8.1
2011,St Lawrence,Trout Lake,Edwards,April,570,Lake Trout,5.9
2011,Saratoga,Great Sacandaga Lake,Day,April,2000,Rainbow Trout,7.9
2011,Chenango,Mill Brook Reservoir,New Berlin,April,150,Brown Trout,13.1
2018,Suffolk,Southards Pond,Babylon,October,200,Brown Trout,11.3
2014,Clinton,Salmon River,Peru,May,25,Brown Trout,9.2
2016,Delaware,Delaware River East Branch,Middletown,May,430,Brown Trout,9.1
2017,Madison,Stone Mill Brook,Lebanon,March,990,Brown Trout,8
2012,Onondaga,Spafford Creek,NA,March,125,Brown Trout,13
2015,Franklin,Green Pond,Santa Clara,November,50,Landlocked Salmon,13.5
2018,Nassau,Upper Twin Pond,Hempstead,October,800,Brown Trout,11.3
2016,Onondaga,Onondaga Creek,NA,April,540,Brown Trout,8
2017,Oneida,Fish Creek West Branch,NA,May,200,Brown Trout,13
2017,Putnam,Pelton Pond,Kent,April,300,Rainbow Trout,9.1
2018,Essex,Clements Pond,Jay,September,120,Brook Trout,4
2013,Sullivan,Willowemoc Creek,Neversink,May,870,Brown Trout,8.7
2014,Hamilton,Icehouse Pond,Morehouse,September,500,Brook Trout,3.2
2016,Cattaraugus,Harwood Lake,Farmersville,March,1670,Brook Trout,8.5
2017,Madison,Chittenango Creek,Sullivan,May,830,Brown Trout,8
2013,Sullivan,Willowemoc Creek,Neversink,April,290,Brown Trout,13.2
2015,Hamilton,Brown Lake,Arietta,September,350,Brook Trout,4.3
2018,Albany,Hannacrois Creek,Coeymans,April,130,Brown Trout,12.4
2017,Franklin,Malone Village Pond,Malone,May,100,Brown Trout,13.2
2013,Cattaraugus,Harwood Lake,Farmersville,April,2500,Brook Trout,8.9
2015,Hamilton,Sumner Stream,Inlet,June,260,Brook Trout,9.1
2013,Essex,Balfour Lake,Minerva,May,550,Brown Trout,8.6
2017,Oneida,Cincinnati Creek,Trenton,May,910,Brown Trout,8
2013,Madison,Chittenango Creek,Sullivan,April,440,Brown Trout,7.8
2014,Essex,West Branch of the Ausable River,NORTH ELBA,July,206,Rainbow Trout,18
2018,Herkimer,Mohawk River,Frankfort,September,900,Tiger Muskellunge,9.5
2015,Suffolk,Randall Pond,Brookhaven,October,200,Brown Trout,11.9
2013,Sullivan,Willowemoc Creek,Rockland,June,100,Brown Trout,13.1
2016,Westchester,Titicus Reservoir,North Salem,March,7240,Brown Trout,8.9
2011,Sullivan,Callicoon Ck North Branch,Callicoon,April,1270,Brown Trout,8.8
2011,Onondaga,Van Buren Pond,NA,March,100,Rainbow Trout,9
2012,Chemung,Eldridge Lake,Elmira,April,500,Rainbow Trout,8.9
2012,St Lawrence,St Regis River,Lawrence,May,730,Brown Trout,12.7
2016,Franklin,Federation Pond,Santa Clara,October,200,Brook Trout,4
2014,Essex,JOHNS BROOK,KEENE,April,350,Brook Trout,7
2017,Warren,Lower Siamese Lake,Johnsburg,May,500,Rainbow Trout,9
2012,Essex,Trout Brook,Ticonderoga,February,400,Brook Trout,6
2014,Lewis,Roaring Brook,NA,June,1000,Brook Trout,10
2016,Essex,Roe's Pond,Moriah,April,170,Brown Trout,8.6
2015,Onondaga,Limestone Creek,NA,May,450,Brown Trout,13.2
2016,Franklin,Hoel Pond,Santa Clara,April,900,Lake Trout,7
2012,Hamilton,Indian Lake,"Indian Lake, Lk Pleasant",April,6960,Brown Trout,8.1
2011,Cattaraugus,Elton Creek,Freedom,April,170,Brown Trout,8.3
2016,Franklin,Deer Pond,Santa Clara,May,450,Brown Trout,7.3
2018,Herkimer,West Canada Creek,Ohio,May,2960,Brown Trout,8
2014,Chenango,Mill Brook,Oxford,September,800,Brown Trout,5.4
2012,Essex,Ausable River (Clintonville-Keeseville),Chesterfield,March,500,Rainbow Trout,14
2016,Herkimer,Black River,Ohio,November,4000,Brook Trout,4
2011,Monroe,Irondequoit Bay,"IRONDEQUOIT, PENFIELD, WEBSTER",June,11640,Walleye,1.7
2011,Franklin,Grass Pond,Santa Clara,October,1500,Brook Trout,4.8
2016,Fulton,Northville Pond,Northampton,January,1250,Rainbow Trout,8
2017,Essex,Gull Pond,Schroon,October,550,Brook Trout,4.6
2015,Warren,Schroon River,Warrensburg-Grist Mill,May,700,Rainbow Trout,9
2016,Essex,Putnam Creek,Crown Point,March,380,Brown Trout,14
2013,Franklin,Polliwog Pond,Santa Clara,May,510,Lake Trout,6.8
2014,Warren,Schroon River,"Bolton, Brant Lk, Chester, Hor",May,2230,Brown Trout,8.1
2012,Onondaga,Onondaga Creek,NA,March,425,Brown Trout,8
2011,Saratoga,Glowegee Creek,Milton,April,1100,Brown Trout,8.3
2014,Ulster,Ashokan Reservoir (East Basin),"Hurley, Olive",April,8610,Brown Trout,8.9
2015,St Lawrence,Townline Pond,Colton,September,1200,Brook Trout,4
2018,Sullivan,Ten Mile River,Cochecton,April,40,Brown Trout,13.1
2011,Franklin,Mountain Pond,Brighton,May,4500,Brook Trout,3
2017,Cayuga,Owasco Lake,Scipio,May,4280,Brown Trout,9
2015,Delaware,Little Pond,Andes,May,200,Brown Trout,12.8
2012,Franklin,Meacham Lake,NA,June,1000,Landlocked Salmon,6.9
2012,Cattaraugus,Connoisarauley Creek,Ashford,March,380,Brook Trout,8.7
2018,Sullivan,Mongaup Falls Reservoir,Lumberland,April,1300,Brown Trout,9
2018,Tompkins,Fall Creek,Groton,April,300,Brown Trout,13.5
2018,Essex,Bass Lake,North Hudson,September,1350,Brook Trout,4.2
2013,Warren,Schroon River,Chester,April,800,Rainbow Trout,9.5
2014,Otsego,Arnold Lake,Hartwick,April,340,Brown Trout,8.6
2018,Madison,Lebanon Reservoir,Lebanon,April,1740,Rainbow Trout,8.3
2014,Hamilton,Lost Lake,Arietta,September,200,Brook Trout,3.7
2018,Cattaraugus,Little Conewango Creek,Conewango,April,780,Brown Trout,9
2015,Sullivan,Neversink River,Thompson,April,1280,Brown Trout,8.4
2018,Cattaraugus,Quaker Lake,NA,October,25,Rainbow Trout,27.5
